user_id|full_name|document_id|email|phone|country|segment|registration_date
USR-002918|Elsa Corral Regalado|36106706|elsa.corral.regalado11@hotmail.com|(51)973785745|AR|nuevo|2023-12-12
USR-001725|Srita. Antonia Cornejo|69935042|srita..antonia.corne66@gmail.com|(51)952104804|Colombia||2021-03-21
USR-002752|Abel Cantú|82387270|abel.cantú10@hotmail.com|+51903274062|CO|estandar|2020-03-02
USR-002792|Lic. Rolando Medina|36748210|lic..rolando.medina92@outlook.com|(51)946530573|CL| nuevo|29/03/2023
USR-002650|Lic. Fernando Reséndez|28171709|lic..fernando.resénd96@outlook.com|51-990-387-162|AR||2020-11-12
USR-000781|Eugenia de la Fuente|12625235|eugenia.de.la.fuente14@yahoo.com|973380512|MX|estandar|2023-06-07
USR-002975||76275457|70@gmail.com|+51952859661|AR|nuevo|10/07/2020
USR-000735|Zoé Caridad Arriaga|58662591|zoé.caridad.arriaga69@outlook.com|51-973-528-670|AR|estandar|2023-11-03
USR-002629|Hernán Tamayo de la O|635288002|hernán.tamayo.de.la.78@hotmail.com|904754830|PE|estandar|2020-08-07
USR-003723|Lic. Zacarías Ponce|322400262|lic..zacarías.ponce97@hotmail.com||Chile|nuevo|2022-01-14
USR-000619|Daniel Alfredo Medina Ornelas|69991006|daniel.alfredo.medin1@yahoo.com|+51924320238|AR|estandar|2023-07-16
USR-001273|Jacobo Eugenio Ramírez|8639880|jacobo.eugenio.ramír22@yahoo.com|+51979107236|CL|premium|02/08/2023
USR-000954|Ilse Lucía Serna|622152755|ilse.lucía.serna62@yahoo.com|(51)986545392|CO|VIP|05/06/2020
USR-000581|Ramiro Juan Carlos Véliz Leyva|2694112|ramiro.juan.carlos.v28@hotmail.com|(51)976790616|CL|nuevo|2021-01-02
USR-000448|María Elena Concepción Coronado|52730461|maría.elena.concepci9@outlook.com|(51)979213096|AR|estandar|21/08/2023
USR-001717|Mayte|Gabriela Mata|94831519|mayte.gabriela.mata16@outlook.com|+51932374554|CL|estandar|2023-01-03
USR-002555|Dulce Ana María Estévez|99712525|@dominio.com|+51907356186|CO|nuevo|21/11/2023
USR-000847|Liliana Judith Perea Ferrer|53764667|liliana.judith.perea49@yahoo.com||MX|estandar|2023-01-31
USR-000585|Mauro Mota|08556145|mauro.mota69@outlook.com|+51933309974|AR|premium|2021-07-13
USR-001110|Ivonne Zambrano|32934212|ivonne.zambrano24@gmail.com|51-914-157-361|MX|premium|2023-05-20
USR-003284|María Cristina Noemí Porras|14943267|maría.cristina.noemí37@outlook.com|(51)915420555|CL|estandar|2021-01-08
USR-003575|Fidel Zelaya|65206603|fidel.zelaya58@yahoo.com|+51979984044|CO|nuevo|2021-10-17
USR-000305|Lic. David Méndez|5728882|lic..david.méndez34@outlook.com|925357111|CO|nuevo|06/01/2021
USR-000478|Jaime Iglesias Beltrán|0636328|jaime.iglesias.beltr67@gmail.com|(51)909528915|AR|nuevo|04/02/2023
USR-002885|Estela Cintrón|7363078|estela.cintrón87@outlook.com||PE|nuevo|2020-04-17
USR-000813|Yolanda Citlali Serrato|91640856||902328225|MX|estandar|01/06/2021
USR-000328|Sin Nombre|625860928|sin.nombre68@outlook.com|51-990-584-296|PE|estandar|2022-07-02
USR-002401|Ing. Isaac Muñoz|39020423|ing..isaac.muñoz22@yahoo.com|+51978738508|AR|premium|2021-09-25
USR-001835|Catalina Isabel Aguayo Villa|67004946|catalina.isabel.agua49@yahoo.com|(51)905624333|AR|estandar|2020-06-28
USR-002038|Alejandra Inés Tijerina|97312382|alejandra.inés.tijer80@outlook.com|+51945297796|MX|estandar |2021-10-15
USR-002725|Esteban Lucas Cazares Rael|09093754||51-935-762-758|MX|estandar|2022-03-13
USR-001619|Patricio Candelaria del Río|12993483|patricio.candelaria.53@outlook.com|+51924916742|CO|premium|2020-08-22
USR-002891|Soledad Verónica Cintrón|525842768|soledad.verónica.cin50@outlook.com|+51906346445|PE|estandar|2022-12-06
USR-000555|Bernardo Ulibarri|49654066|bernardo.ulibarri5@hotmail.com|+51901665319|AR|nuevo|2023-05-02
USR-003966|Frida Linda Granado|22724748|frida.linda.granado80@yahoo.com|+51924503865|Colombia||2022-01-22
USR-000185|Marcela Hernández del Valle|11085362|marcela.hernández.de93@outlook.com|+51953543337|CL|nuevo|23/02/2020
USR-000604|Srita. Hilda Berríos|71592328|srita..hilda.berríos30@gmail.com|51-991-582-198|MX|nuevo|2023-03-02
USR-000918|Javier Feliciano Valentín|75165147|javier.feliciano.val76@outlook.com|+51926795752|AR|nuevo|2022-05-22
USR-000806|Dra. Conchita Carrera|13699831|dra..conchita.carrer27@gmail.com|+51908352966|CL|estandar|2023-12-12
USR-000468|N/A|14191817|n/a71@outlook.com|51-929-990-464|CL|estandar|2023-09-26
USR-002132|Lic. Laura Guillen|83274765|lic..laura.guillen80@gmail.com|+51907584672|CL|estandar|13/02/2020
USR-001145|Roberto Fernández Venegas|71563233|roberto.fernández.ve38@outlook.com|990246948|AR|premium|28/08/2021
USR-001704|Lorenzo Amador Loera Sotelo|82020576|lorenzo.amador.loera16@outlook.com|51-977-024-458|CO|premium|14/01/2020
USR-000880|Claudia Flores|50822930|claudia.flores29@outlook.com|(51)908032373|CO|estandar|2020-10-05
USR-002993|Guillermina Tovar|56756350|guillermina.tovar50@gmail.com|988022765|MX|estandar|2020-10-04
USR-001761|Beatriz Esperanza Quintana Mena|72807940||+51958586054|CL||2021-07-20
USR-000697|Carmen Meraz|80782751|carmen.meraz36@gmail.com|(51)942117979|CL|premium|31/05/2023
USR-002113|Wendolin Vásquez Ybarra|07728895|nodisponible|+51990825420|MX|nuevo|2023-10-25
USR-000797|Natalia Arteaga Lomeli|36045954|natalia.arteaga.lome32@yahoo.com||MX||2023-02-21
USR-000091|Natalia Diana Soliz|00028581|natalia.diana.soliz2@hotmail.com|(51)948535398|CL|estandar|21/11/2022
USR-002065|Carlos Villegas|24162288|carlos.villegas36@gmail.com|948429911|CO| nuevo|25/04/2022
USR-000408|Aida Gil Valencia|80558813|aida.gil.valencia45@outlook.com|+51930958714|MX|estandar|29/08/2023
USR-003476|Ing. Óscar Apodaca|48754875|ing..óscar.apodaca83@yahoo.com|+51950116977|peru|estandar|20/11/2023
USR-003798|Flavio Daniel Godínez|39712540|flavio.daniel.godíne87@yahoo.com|937969687|CO|estandar|2023-04-30
USR-000589|Ing. Teodoro Puga|75425876|ing..teodoro.puga24@gmail.com|51-917-170-328|AR|nuevo|28/07/2021
USR-001664|Beatriz Montoya Godoy|49669799|beatriz.montoya.godo32@outlook.com|950101445|CO|premium|2020-01-03
USR-000531|Mayte Ana María Laureano|25707601|mayte.ana.maría.laur85@yahoo.com|+51997297272|AR|nuevo|2020-07-31
USR-001328|Julia Galarza Nazario|90694063|julia.galarza.nazari92@gmail.com|+51913784424|MX|estandar|2022-01-15
USR-003220|Ing. Jacinto Correa|55813965|ing..jacinto.correa39@hotmail.com|51-970-983-703|CL|estandar|2020-04-10
USR-002588|Adela Muñiz Quintanilla|52613662|adela.muñiz.quintani35@gmail.com|51-984-091-348|CL|VIP|06/11/2023
USR-001031|Fernando Omar Maldonado|48333493|fernando.omar.maldon35@yahoo.com||MX|estandar|07/06/2022
USR-000275|Sr. Benito Montemayor|43092610|sr..benito.montemayo16@yahoo.com|910596585|MX|premium|27/09/2022
USR-000517|Rafaél Cervantes Rodríquez|17152161|rafaél.cervantes.rod65@outlook.com|51-953-289-884|CO|estandar|2020-10-27
USR-002739|Hugo José Noriega Varela|58309812|hugo.josé.noriega.va18@yahoo.com|947518949|PE|ESTANDAR|2020-06-11
USR-000003|Alfredo Enrique Ramón|02911006|alfredo.enrique.ramó32@gmail.com|+51966565869|MX|estandar|2023-03-26
USR-001528|Julio César Augusto Cortés Santillán|86260672|sin_correo|(51)921291239|CL|premium|26/05/2023
USR-003285|Amalia Alejandra Roldán Echeverría|21444280|amalia.alejandra.rol1@gmail.com|(51)971021189|MX|estandar|10/11/2021
USR-000873|Sra. Victoria Centeno|83165300|sra..victoria.centen72@outlook.com|(51)950840631|MX|premium|2020-05-29
USR-001971|Eugenio Longoria Caldera|82963019|eugenio.longoria.cal21@gmail.com||AR|nuevo|2021-09-03
USR-000237|Elias Miguel Almaraz Zelaya|66385895|elias.miguel.almaraz40@hotmail.com|(51)965785597|AR|NUEVO|2020-03-02
USR-003132|Víctor Villalobos Figueroa|52073530|víctor.villalobos.fi45@outlook.com|+51970625954|CO|estandar|2022-09-26
USR-000745|Paulina Alejandro|86276054|paulina.alejandro31@yahoo.com|+51980056331|MX|estandar|2022-05-08
USR-003346|Sr. Emilio Pineda|5121448|sr..emilio.pineda7@gmail.com|(51)936587359|PE|estandar|2020-02-25
USR-001362|Ing. Gilberto Zúñiga|71877059|ing..gilberto.zúñiga60@hotmail.com|(51)959911037|PE|estandar|2023-01-31
USR-003187|Marco Antonio Alberto Montez Feliciano|67031945|marco.antonio.albert30@hotmail.com|946180354|PE|premium|2020-12-12
USR-001719|Víctor Gregorio Gómez|20389121|NA|51-911-885-815|CL|estandar |2021-02-08
USR-002447|Raúl Verdugo Cardona|51774485|raúl.verdugo.cardona64@yahoo.com|+51989422423|PE|premium|06/11/2021
USR-000096|Julio César Gurule|94367625|julio.césar.gurule55@yahoo.com|983787653|CO|estandar|22/10/2020
USR-003112|Rocío Véliz|81523266|rocío.véliz98@gmail.com|922651189|MX|nuevo|2022-02-07
USR-002276|Dr. Guillermo Nieto|01851606|dr..guillermo.nieto35@gmail.com|920189253|PE|premium|20/07/2022
USR-001757|Carla Alicia Fernández Tello|99603204|carla.alicia.fernánd77@hotmail.com|921711825|CO|estandar|2021-06-25
USR-000325|Dolores Olivia Tovar|4295044|dolores.olivia.tovar59@yahoo.com|+51975110374|BR|premium|21/04/2021
USR-003103|Desconocido|26422948|desconocido3@outlook.com|(51)938058479|CL|nuevo|01/09/2020
USR-000773|Dr. Bernardo Tapia|43172710||51-943-431-258|MX|estandar|2023-10-05
USR-002289|Nancy Eloisa Rangel|40142532|nancy.eloisa.rangel51@yahoo.com|+51941020318|PE|VIP|2020-07-04
USR-000682|Rafaél Guerra Martínez|91196382|rafaél.guerra.martín16@hotmail.com|(51)979918037|CO|premium|2020-06-26
USR-003704|Srita. Angélica Riojas|58939933|srita..angélica.rioj24@yahoo.com|+51996222994|PE|nuevo|2022-04-26
USR-000114|Lic. Ricardo Saldaña|96624776|lic..ricardo.saldaña50@yahoo.com|51-932-982-186|CL|nuevo|04/03/2023
USR-000316|Isaac Santiago Herrera|04219081|isaac.santiago.herre67@yahoo.com|51-945-708-397|CO|estandar|2020-12-06
USR-002474|Frida Ortiz Santacruz|77595602|frida.ortiz.santacru80@yahoo.com|957253423|CL|NUEVO|25/12/2023
USR-001353|Frida Marcela Casares Luevano|52147841|frida.marcela.casare71@outlook.com|+51945861383|AR|premium|06/03/2021
USR-002266|Lic. Carlos Zayas|36339492|lic..carlos.zayas41@yahoo.com|+51983588027|MX| nuevo|2023-09-28
USR-003800|Marco Antonio Eugenio Tafoya Cuellar|16595119|marco.antonio.eugeni14@outlook.com|(51)935814215|CO|nuevo|27/02/2020
USR-002493|Cristina Mercado Maya|84226392|cristina.mercado.may95@yahoo.com|51-994-839-286|CO||01/07/2022
USR-000189|María del Carmen Zarate Carrero|1607569|maría.del.carmen.zar22@outlook.com|913558557|PE|estandar|2021-12-06
USR-003831|Adán Fernando Esparza Lucero|52851073|adán.fernando.esparz17@yahoo.com|51-927-819-150|CO|nuevo|2023-07-01
USR-001104|Lic. Estela Corrales|63390365||+51955095412|CO|premium|2022-10-19
USR-001358|Sr. Fidel Hidalgo|71251482|sr..fidel.hidalgo95@outlook.com|51-930-770-509|MX|nuevo|2022-06-28
USR-003248|Pilar Santiago|86605866|pilar.santiago45@yahoo.com|(51)982201337|BR|estandar|26/04/2020
USR-000859|René Teodoro Paz|667448939|rené.teodoro.paz70@gmail.com|942648943|AR|nuevo|15/05/2021
USR-000641|Dra. Nadia Alvarado|91132184|dra..nadia.alvarado16@outlook.com|+51953724793|CL|premium|01/04/2022
USR-000718|Agustín Polanco Collazo|07960421|agustín.polanco.coll32@gmail.com|51-929-478-016|AR|nuevo|05/02/2023
USR-001231|Dr. Cornelio Mascareñas|84883222|dr..cornelio.mascare14@yahoo.com|943865924|Chile|estandar|31/08/2023
USR-000060|Cristal Luisa Chavarría Villalpando|06886049|cristal.luisa.chavar34@hotmail.com|(51)919920121|CL|estandar|2021-02-09
USR-000117|Mariano Solano Gutiérrez|93019943|mariano.solano.gutié1@hotmail.com|(51)956882150|CL|nuevo|2022-12-29
USR-003687|Vicente Jorge Luis Brito Fernández|38388861|vicente.jorge.luis.b48@outlook.com||CO|estandar|17/02/2021
USR-000855|Ing. Jaqueline Garica|32900079|ing..jaqueline.garic9@gmail.com|929768819|AR|nuevo|13/10/2020
USR-002133|Dra. Rosa Cruz|93335632|dra..rosa.cruz91@yahoo.com|+51969597255|PE|estandar|2022-12-02
USR-002738|Carlos Uribe Beltrán|5001721|carlos.uribe.beltrán30@hotmail.com||PE|Estandar|10/12/2020
USR-000400|Martha Alba Urrutia|91413138|martha.alba.urrutia50@outlook.com|51-962-058-806|PE|estandar|10/07/2022
USR-000775|Pamela Karla Bueno|79087840|pamela.karla.bueno43@yahoo.com|(51)983873854|PER|estandar|2023-10-06
USR-001471|Eugenio Tijerina|93594785|eugenio.tijerina60@outlook.com||Peru|estandar|15/06/2020
USR-000026|César Pedro Palomo|22450136|césar.pedro.palomo46@gmail.com|+51918550312|MX|VIP|2023-03-31
USR-000881|Natividad Solorzano|7615511|natividad.solorzano62@yahoo.com|(51)937822099|AR|estandar|01/07/2020
USR-001064|Cristal Urrutia Olivo|09889451|cristal.urrutia.oliv45@gmail.com|986484336|MX|estandar|18/09/2021
USR-001225|N/A|1745481|n/a29@hotmail.com|951966574|MX|estandar|2021-05-10
USR-003013|Alejandro|Lemus|12210883|alejandrolemus4@gmail.com|(51)972200919|PE|nuevo|29/03/2020
USR-001720|Ofelia Dávila Llamas|62713470|ofelia.dávila.llamas76@gmail.com|+51964335861|PE|premium|2023-12-19
USR-001034|Alta  Gracia Meléndez|30026410|alta..gracia.melénde39@yahoo.com|+51912043081|AR|estandar|2023-03-14
USR-002763|Rufino Teodoro Valentín|40892254|rufino.teodoro.valen64@hotmail.com|+51924730911|PE|estandar |2020-07-05
USR-003939|Raquel Diana Marroquín Pelayo|01148479|NA|961826747|CL|NUEVO|2021-02-10
USR-002967|Teresa Débora Rubio|94828459|teresa.débora.rubio24@outlook.com|981574203|AR|premium|2020-07-23
USR-003033|Vanesa Camila Roybal Galindo|99858078|vanesa.camila.roybal40@outlook.com|51-904-948-135|CL|nuevo|14/09/2020
USR-000155|Jerónimo Benito Zamora Peña|24527065|jerónimo.benito.zamo36@outlook.com|+51930097021|MX|NUEVO|2020-11-07
USR-003436|Eric Esteban Marín|72375851|eric.esteban.marín57@gmail.com|+51937768001|CO|premium|2021-01-29
USR-002708|Perla Franco León|42121695|perla.franco.león64@outlook.com|908668676|CL|estandar|14/10/2023
USR-003809|Darío Benito de Anda|562545213|darío.benito.de.anda64@yahoo.com|51-991-308-802|CL|estandar|14/01/2021
USR-000764|Vicente Gaytán Toro|15075685|vicente.gaytán.toro19@outlook.com|(51)996142608|CO|premium|2020-10-12
USR-003482|Eloy Porras|12554395|eloy.porras14@gmail.com|913319465|CO|premium|2022-01-28
USR-001486|Lourdes Vanesa Sotelo Rodríguez|10872391|lourdes.vanesa.sotel80@hotmail.com|(51)958528160|CL|nuevo|2020-02-26
USR-000370|Aldo José Bernal|35588208|aldo.josé.bernal69@gmail.com|(51)966548953|CO|NUEVO|17/02/2023
USR-002730|Rosa Mejía|31367430|rosa.mejía41@yahoo.com|(51)965083544|Argentina|VIP|2023-02-27
USR-000108|Cynthia Anabel Armenta|41306943|cynthia.anabel.armen16@hotmail.com|+51945394811|CO||2023-04-28
USR-001297|Bruno Manzanares Cadena|95538572|bruno.manzanares.cad18@outlook.com|(51)902043225|Chile|nuevo|2023-12-24
USR-003881|Srita. Patricia García|99620578|srita..patricia.garc42@yahoo.com|+51914423971|PE|premium|2022-03-14
USR-002229|Fidel Rafaél Zaragoza|88243362|fidel.rafaél.zaragoz6@outlook.com|949357308|CO|premium|2023-08-31
USR-002161|Pedro Alvaro Valles|80133854|pedro.alvaro.valles74@gmail.com|+51918843738|MX|estandar|07/02/2022
USR-002217|Teodoro Madrid Galván|44688153|teodoro.madrid.galvá49@outlook.com|963279567|MX|premium|05/12/2023
USR-000132|Sr. Cristian Vela|78366639|NA|+51980987383|PE|estandar|2022-12-08
USR-000499|Olivia Sessa Valdivia Vázquez|46396286|olivia.sessa.valdivi2@outlook.com|+51957805446|AR|nuevo|27/05/2020
USR-002426|Miguel Ángel Báez Caldera|79323170|miguel.ángel.báez.ca67@hotmail.com|(51)955876337|AR|premium|2022-03-31
USR-000057|Serafín Olivares|00790064||(51)990784475|PER|nuevo|2021-02-19
USR-003123|Abelardo Juan Carlos Baca|44948560||+51937710523|CO|estandar|2020-11-19
USR-003363||80171873|21@hotmail.com|+51988236721|CL|nuevo|18/11/2022
USR-002694||54668114|44@yahoo.com|975142539|AR|NUEVO|2023-10-27
USR-000784|Clara|Montez|21409499|@dominio.com|(51)947882014|PE|NUEVO|2020-09-19
USR-003955|Renato Aguilera|42689555|renato.aguilera31@hotmail.com|51-910-144-650|MX|premium|2020-07-19
USR-003400|Ramiro Olivera Lugo|34525768|ramiro.olivera.lugo44@yahoo.com|(51)969488577|AR|estandar|16/10/2022
USR-002937|Sr. José Emilio Pichardo|210491140|sr..josé.emilio.pich6@hotmail.com|+51923642616|CL|premium|2020-04-22
USR-000755|María Barreto Cintrón|760084164|maría.barreto.cintró40@outlook.com|(51)924253870|PER|VIP|2020-12-30
USR-001081|Catalina Amador|0669973|catalina.amador34@yahoo.com|+51922828657|PE|premium|2023-02-16
USR-001239|Darío Reséndez Esparza|76686046|darío.reséndez.espar93@gmail.com|51-912-678-659|AR|nuevo|2020-11-04
USR-001827|Dr. Gerónimo Fierro|63181494|dr..gerónimo.fierro74@outlook.com|998047532|CL|estandar|2020-04-04
USR-000552|Ing. Conchita Galván|77414685|ing..conchita.galván25@outlook.com|+51958957052|AR|estandar|2021-07-06
USR-003211|Ing. Alonso Pantoja|14385975|ing..alonso.pantoja83@hotmail.com|(51)967421001|AR|nuevo|2020-01-26
USR-003158|Srita. Rosa Posada|9977208|srita..rosa.posada68@outlook.com|(51)964690816|CO|estandar|14/05/2021
USR-000369|Ing. Olivia Cuellar|78666602|ing..olivia.cuellar51@yahoo.com|51-946-156-730|Mexico|estandar|09/05/2020
USR-000829|Ing. Óscar Villarreal|28690896||(51)903755548|CL|nuevo|25/02/2022
USR-001436|Enrique Corrales Posada|69962109|enrique.corrales.pos69@yahoo.com|982955524|CO|premium|2022-09-14
USR-000737|Sra. Guillermina Macías|11912889|sra..guillermina.mac79@gmail.com|(51)953058021|CL|premium|2020-12-09
USR-000574|Dulce María Cardenas Aguilar|75848351|dulce.maría.cardenas10@gmail.com|977811761|MX|estandar|2020-04-09
USR-000948|N/A|85410551|n/a53@gmail.com|(51)958471033|MX|estandar|2023-07-03
USR-003481|Pablo Medina Maestas|47708867|pablo.medina.maestas91@outlook.com|51-919-865-484|CL|estandar |16/12/2023
USR-003917|Claudia León|73926358|claudia.león29@hotmail.com||MX|premium|10/12/2022
USR-003979|Ing. Luis Manuel Matías|94972843|ing..luis.manuel.mat63@yahoo.com|51-902-840-202|CL|nuevo|22/01/2021
USR-001068|Pilar Andrea Rivero|16876054|pilar.andrea.rivero73@hotmail.com|+51936648998|CO|premium|2023-01-27
USR-002796|Jaime Porfirio Arce|8155924|jaime.porfirio.arce96@yahoo.com|+51948645437|AR|estandar|2020-04-08
